dataset,expID,subjID,session,gender,age,edu,faEdu,moEdu,faOccu,moOccu,famIncome,subjSES,justsens_1,justsens_2,justsens_3,justsens_4,justsens_5,justsens_6,justsens_7,justsens_8,Intuitest_1,Intuitest_2,Intuitest_3,IRI_cn_1,IRI_cn_2,IRI_cn_3,IRI_cn_4,IRI_cn_5,IRI_cn_6,IRI_cn_7,IRI_cn_8,IRI_cn_9,IRI_cn_10,IRI_cn_11,IRI_cn_12,IRI_cn_13,IRI_cn_14,Relat_SE_1,Relat_SE_2,Relat_SE_3,Relat_SE_4,Relat_SE_5,Relat_SE_6,Relat_SE_7,Relat_SE_8,disgust_1,disgust_2,disgust_3,disgust_4,disgust_5,disgust_6,disgust_7,disgust_8,disgust_9,disgust_10,disgust_11,disgust_12,disgust_13,disgust_14,disgust_15,disgust_16,disgust_17,disgust_18,disgust_19,disgust_20,disgust_21,disgust_22,disgust_23,disgust_24,disgust_25,disgust_26,disgust_27,disgust_28,disgust_29,disgust_30,BelievJust_1,BelievJust_2,BelievJust_3,BelievJust_4,BelievJust_5,BelievJust_6,BelievJust_7,BelievJust_8,BelievJust_9,BelievJust_10,BelievJust_11,BelievJust_12,BelievJust_13,dist_prac1,dist_prac2,GoodNeut_4,GoodBad_1,SelfNeut_1,SelfSelf,SelfBad_1,SelfStra_1,NeutBad_1,GoodBad_2,SelfGood_1,SelfBad_2,GoodNeut_1,SelfGood_2,NeutBad_2,SelfStra_2,SelfNeut_2,GoodNeut_2,GoodBad_3,GoodBad_4,NeutBad_3,SelfGood_3,SelfStra_3,NeutBad_4,SelfNeut_3,SelfBad_3,SelfBad_4,SelfGood_4,GoodNeut_3,SelfNeut_4,SelfStra_4,BFI_A1,BFI_A2,BFI_A3,BFI_A4,BFI_A5,BFI_A6,BFI_A7,BFI_A8,BFI_A9,BFI_C1,BFI_C2,BFI_C3,BFI_C4,BFI_C5,BFI_C6,BFI_C7,BFI_C8,BFI_C9,BFI_N1,BFI_N2,BFI_N3,BFI_N4,BFI_N5,BFI_N6,BFI_N7,BFI_N8,BFI_O1,BFI_O2,BFI_O3,BFI_O4,BFI_O5,BFI_O6,BFI_O7,BFI_O8,BFI_O9,BFI_O10,BFI_E1,BFI_E2,BFI_E3,BFI_E4,BFI_E5,BFI_E6,BFI_E7,BFI_E8,MLOC1,MLOC2,MLOC3,MLOC4,MLOC5,MLOC6,MLOC7,MLOC8,MLOC9,MLOC10,MLOC11,MLOC12,MLOC13,MLOC14,MLOC15,MLOC16,MLOC17,MLOC18,MLOC19,MLOC20,MLOC21,MLOC22,MLOC23,MLOC24,FD1,SD2,UP3,FW4,FD5,SD6,UP7,FW8,FD9,SD10,UP11,FW12,FD13,SD14,UP15,FW16,FD17,SD18,UP19,UP20,FW21,SD22,FW23,SD24,UP25,FW26,UP27,SES1,SES2,SES3,SES4,SES5,SES6,SES7,SES8,SES9,SES10,morId_16,morSlfImg_1,morSlfImg_2,morSlfImg_3,morSlfImg_4,morSlfImg_5,morSlfImg_6,morSlfImg_7,morSlfImg_8,morSlfImg_9,morId_1,morId_2,morId_3,morId_4,morId_5,morId_6,morId_7,morId_8,morId_9,morId_10,morId_11,morId_12,morId_13,morId_14,morId_15
4,exp1.0,1050,1,2,19,5,3,2,2,2,14000,3,2,2,1,1,1,1,2,3,0.05,1,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,2,3,1,2,4,3,4,3,2,3,4,3,3,2,5,5,3,3,4,4,4,4,4,4,4,4,10,50,40,2,9,42,75,70,7,22,7,51,10,50,7,50,12,12,2,2,4,6,70,60,7,59,76,45,50,11,30,4,4,3,3,3,3,3,4,4,4,4,4,4,4,3,3,4,2,3,3,3,4,3,3,4,3,3,3,4,3,4,3,3,4,3,2,3,3,4,4,4,3,3,3,1,-3,-2,-2,1,-3,-2,-2,1,-3,-3,-3,-3,-2,-2,-2,-2,1,1,-3,1,1,2,-3,2,3,4,2,2,3,4,4,3,3,4,4,2,3,3,4,4,3,3,3,3,4,4,4,3,4,3,3,3,1,3,3,3,3,4,2,2,5,5,5,6,5,5,4,5,5,5,5,6,6,6,7,6,6,6,5,6,5,5,5,6,6
4,exp1.0,1051,1,2,19,5,2,1,2,1,8000,5,1,3,5,2,5,2,4,3,0.5,5,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,4,4,3,4,1,4,1,4,3,2,2,3,3,3,3,4,1,3,4,3,3,3,3,2,4,2,3,3,5,5,5,5,5,4,3,3,3,4,4,5,50,20,65,50,9,5,70,51,30,50,21,65,70,66,65,51,5,65,50,50,25,30,51,30,10,75,70,25,25,20,50,4,4,3,4,4,3,3,3,3,2,3,2,4,2,3,4,4,3,4,4,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,4,4,4,-3,2,-3,-3,-3,1,-3,-3,-3,1,-3,1,1,-3,-2,-3,-3,-3,1,-3,1,-3,2,-3,3,2,3,2,2,2,2,3,2,2,4,3,2,2,2,3,4,4,4,4,2,4,4,3,2,4,2,3,4,2,4,3,4,3,4,1,1,3,5,7,6,7,5,5,6,6,6,7,5,6,6,3,6,4,4,4,4,3,4,4,4,4
4,exp1.0,1052,1,2,19,5,2,2,3,3,3000,4,2,3,2,3,3,3,5,4,0.05,5,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,4,1,4,1,1,4,1,4,3,4,3,3,4,4,4,4,3,4,4,4,3,4,4,4,3,4,3,2,4,5,4,3,3,3,2,5,4,2,2,4,70,70,15,52,3,1,67,7,16,53,26,65,18,12,23,16,1,19,68,63,17,14,10,44,3,68,70,26,2,3,22,4,2,3,4,4,3,1,3,1,4,4,3,4,4,2,3,3,2,3,2,4,4,3,2,3,2,2,3,3,3,4,2,3,4,3,3,3,2,2,4,4,3,4,3,2,2,-3,2,-3,2,-3,1,-3,-3,-3,1,2,-3,-3,1,-3,-3,-3,1,2,-3,2,-3,4,3,4,3,3,2,4,3,3,2,4,2,3,2,4,3,4,3,3,4,3,2,4,4,3,2,4,4,4,2,3,3,3,3,3,2,1,6,6,5,7,6,6,7,7,6,7,7,7,5,6,3,6,6,7,6,7,7,7,7,7,6
4,exp1.0,1053,1,2,20,5,3,2,2,2,1500,4,4,5,3,3,2,2,5,5,0.1,500,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,4,1,3,2,1,4,1,3,4,3,3,4,3,4,2,4,3,3,4,4,4,4,3,4,4,3,4,2,5,6,4,4,4,3,2,3,4,3,5,4,65,20,42,68,28,1,76,62,43,73,19,76,33,33,61,45,44,39,62,76,35,29,43,50,36,78,78,24,27,29,60,4,4,5,5,4,2,1,3,3,4,2,3,3,5,3,4,4,4,4,5,3,4,4,3,2,2,3,2,5,2,4,3,2,2,1,1,2,3,3,1,3,4,4,4,-3,-2,-2,-3,-2,1,-3,-3,2,2,-3,-2,-3,2,-1,1,-3,-2,-3,-3,2,-2,2,-2,3,2,1,2,2,1,5,3,2,2,4,3,2,4,4,3,3,4,2,4,2,3,3,4,1,4,4,3,4,1,4,3,3,2,3,3,2,6,9,6,7,7,6,5,9,6,6,7,7,6,6,3,6,6,5,5,3,5,3,3,3,6
4,exp1.0,1054,1,1,1,5,1,1,1,2,2000,4,3,4,2,2,2,2,2,2,0.05,100,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,4,2,3,2,1,3,1,3,3,4,4,4,4,3,2,2,3,2,4,4,4,4,4,3,4,1,4,5,4,5,2,5,5,2,5,2,6,2,3,5,30,82,32,76,13,7,83,8,50,78,35,90,26,40,50,22,3,11,81,77,50,41,19,48,11,81,90,32,8,3,9,4,4,3,2,2,5,1,2,4,2,2,3,3,2,4,4,4,4,4,5,3,4,5,2,2,3,2,3,2,3,2,1,3,5,3,2,2,2,2,3,3,3,5,3,-3,-2,2,-2,-2,-2,-1,-3,2,-1,-3,-2,3,-3,2,-2,-2,-1,-3,-1,2,-2,2,-2,4,2,2,2,1,1,3,3,3,2,3,3,2,2,2,4,3,2,2,3,2,4,3,3,2,4,2,2,2,3,3,3,2,2,3,4,3,5,5,7,4,6,4,5,6,3,5,7,5,7,7,5,4,7,5,7,5,7,7,7,7,5
4,exp1.0,1055,1,1,20,5,2,1,1,1,700,3,2,3,2,1,2,1,5,3,0.5,5,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,1,1,2,2,1,1,1,2,4,2,2,2,2,2,2,3,3,3,2,2,2,1,2,2,2,2,2,4,5,3,3,3,4,3,3,2,3,2,2,4,15,7,18,17,7,3,22,42,11,6,21,9,11,8,20,46,11,19,7,17,22,16,29,17,7,10,9,16,4,11,26,4,4,4,4,4,2,1,2,4,3,4,3,4,2,3,4,4,2,4,4,2,3,2,4,3,2,3,3,4,3,2,2,3,4,2,2,5,3,4,4,4,2,2,4,-3,-3,1,-3,-3,1,-3,2,1,-3,1,-3,1,-3,-3,1,-3,-3,-3,-3,1,-3,-3,-3,1,4,3,3,2,2,3,3,4,3,3,4,3,3,2,4,3,2,3,3,4,3,3,2,3,3,2,3,3,1,3,2,4,3,4,1,1,5,5,6,4,5,5,4,5,3,5,7,6,4,3,4,3,5,7,4,4,4,7,7,7,4
4,exp1.0,1056,1,1,19,5,2,2,2,1,5000,3,1,2,0,1,4,3,4,4,0.05,5,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,3,3,3,3,1,2,1,3,3,2,3,3,3,3,3,3,1,2,2,4,4,3,2,2,4,2,3,5,2,4,2,3,3,2,2,2,3,5,4,4,63,20,6,100,2,3,51,2,8,100,17,53,3,43,3,4,3,2,100,100,2,2,31,2,2,55,49,27,0,5,1,3,4,3,4,4,4,4,4,3,3,4,2,4,4,4,4,4,4,4,4,4,4,4,2,2,4,3,4,4,3,4,3,4,4,4,3,3,4,4,3,3,4,4,4,1,1,1,1,-3,1,-3,1,1,1,1,-3,1,1,1,1,1,-3,1,-3,1,-3,1,-3,4,4,4,4,2,2,4,4,4,4,4,4,2,4,4,5,4,4,4,4,4,4,4,4,2,4,4,3,3,2,3,3,3,2,3,3,2,5,8,8,6,5,6,5,6,6,6,6,6,6,6,3,5,5,6,3,3,3,6,5,5,5
4,exp1.0,1057,1,2,19,5,1,2,5,1,1600,4,3,3,1,1,0,0,5,4,0.05,5,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,4,2,3,4,2,4,1,3,4,4,4,3,4,4,3,4,3,3,4,4,4,3,2,4,4,3,4,4,5,5,5,5,5,5,4,5,6,3,4,3,77,95,5,77,6,15,95,50,76,77,5,95,5,5,93,96,4,6,77,78,96,5,62,86,6,95,96,5,6,8,63,5,5,5,4,4,2,2,2,4,4,5,4,4,4,4,5,4,3,4,4,5,4,5,2,2,2,5,4,2,5,5,2,4,5,5,4,5,2,4,4,5,2,4,2,3,1,-3,-3,3,-3,-2,-2,2,2,-2,-3,-2,-2,-1,-1,-1,2,2,-3,3,-2,2,-2,2,2,2,4,2,3,4,4,3,2,4,4,3,2,4,4,3,4,4,3,4,3,4,4,3,3,4,3,3,1,4,2,4,4,4,2,1,7,6,7,7,7,7,7,7,7,7,7,6,6,4,4,6,6,6,6,6,6,6,6,7,7
4,exp1.0,1058,1,1,18,5,2,4,3,5,2000,6,2,2,0,3,0,0,4,3,0.05,5,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,1,1,2,2,3,2,2,3,2,1,1,1,1,2,2,3,2,2,1,1,1,1,1,2,2,1,2,4,5,4,3,5,5,5,4,5,5,5,5,5,80,80,30,80,32,4,74,42,30,30,28,81,30,39,33,31,34,4,76,77,32,42,38,30,29,84,72,28,42,31,32,4,4,4,4,4,3,3,4,3,5,5,4,4,4,2,4,4,3,3,4,2,4,2,3,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,3,4,4,2,-3,1,-3,1,2,1,-3,2,2,1,2,2,-3,1,1,1,2,2,-3,2,1,2,-3,3,3,3,4,2,2,2,4,3,3,3,4,2,3,2,2,2,2,4,3,4,4,4,4,2,4,2,3,3,1,3,1,3,3,3,2,2,6,8,8,11,9,7,9,7,8,8,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6
4,exp1.0,1059,1,1,19,5,3,3,5,3,4000,6,5,2,2,1,2,3,4,5,0.05,5,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,2,1,4,2,1,3,1,3,4,4,4,4,3,4,3,2,2,1,2,4,2,3,1,1,3,1,3,2,5,5,4,5,6,4,6,2,6,4,5,5,100,91,8,100,4,0,26,3,87,100,5,77,24,12,72,20,23,10,100,100,77,6,4,100,50,93,82,7,18,0,37,5,4,5,4,5,4,1,2,1,5,4,4,5,4,4,4,4,3,2,4,4,4,5,5,3,4,5,4,3,4,5,2,5,5,5,4,4,4,4,5,4,2,4,4,2,3,-3,-3,-2,-3,-1,2,2,1,-3,1,1,-2,2,1,-2,-3,1,-3,1,1,2,-3,2,2,2,5,1,4,3,3,3,2,2,1,4,4,4,5,5,5,1,4,1,4,4,4,1,4,5,4,4,2,4,3,4,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,exp1.0,1060,1,1,18,5,1,2,2,3,4000,7,2,5,0,0,3,3,1,2,0.05,5,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,2,1,1,1,4,1,1,4,4,1,1,1,3,4,3,1,3,3,1,2,4,1,1,1,4,1,4,5,5,4,5,5,5,5,5,5,4,4,6,6,100,100,33,100,24,5,86,44,35,100,19,91,30,22,85,37,20,30,100,100,70,24,57,66,26,82,79,23,23,22,63,5,4,4,5,4,3,1,1,4,5,4,3,4,5,2,4,3,3,4,4,1,3,1,5,5,4,4,3,3,4,4,3,5,5,4,2,4,4,4,4,4,3,4,4,-3,-3,1,3,-3,-1,-1,-2,3,-3,-3,-1,1,-2,-2,-3,-3,-3,2,-2,3,-2,1,-1,1,3,3,2,1,1,5,2,2,2,5,2,2,3,4,2,4,4,2,2,2,4,4,4,2,5,3,4,4,1,4,1,4,4,3,1,1,6,8,7,7,7,7,6,7,7,7,7,7,7,7,3,6,6,6,6,6,6,6,6,6,6
4,exp1.0,1061,1,2,19,5,2,2,4,3,4000,8,3,4,2,2,1,2,5,5,0.05,5,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,3,2,3,1,1,3,1,3,3,1,2,2,3,3,2,3,1,2,2,3,3,4,1,2,4,1,4,2,4,4,2,4,4,3,4,5,5,5,5,5,50,90,39,54,17,12,63,53,44,63,21,85,48,14,50,78,14,52,46,49,41,35,31,47,36,85,74,20,20,11,13,5,5,4,4,4,2,1,3,2,4,4,4,4,4,2,3,1,2,2,4,3,5,4,4,3,3,4,4,4,3,4,3,4,4,3,1,5,3,3,4,4,2,4,2,2,-2,-3,-3,1,-3,-1,-2,2,-3,-2,-3,-2,-2,-1,-1,-2,-1,2,-1,2,-3,1,-1,2,2,2,2,2,2,4,2,2,2,2,5,1,1,1,2,1,4,4,2,4,4,5,3,2,3,2,3,4,1,2,1,4,3,4,1,1,5,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,exp1.0,1062,1,2,19,5,3,1,2,2,4000,4,3,1,2,1,1,3,4,2,0.1,5,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,3,2,4,1,2,2,2,3,2,3,3,3,2,3,4,2,4,3,3,1,4,3,1,3,5,4,4,3,5,4,4,4,5,5,5,4,4,32,74,48,36,53,14,34,47,53,14,35,71,54,23,55,50,50,34,36,17,63,36,61,67,55,73,33,26,37,53,51,5,4,4,5,4,3,1,2,3,3,2,2,3,3,4,4,4,3,4,4,4,4,5,2,2,4,3,2,5,2,4,3,3,4,3,1,3,3,2,3,3,4,5,4,1,2,-2,-2,-3,1,2,-3,1,1,-3,1,1,2,-2,2,-2,-2,1,-1,2,-2,1,-1,2,4,4,2,1,2,5,4,1,2,5,2,1,3,5,5,4,2,4,2,4,3,5,2,2,5,4,4,3,2,3,3,2,3,4,2,2,5,6,10,7,9,8,5,9,10,6,6,5,5,5,4,6,6,7,6,7,7,7,7,5,5
4,exp1.0,1063,1,2,20,5,1,1,1,1,1500,5,5,3,3,1,2,1,5,3,0.1,100,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,2,3,4,2,2,4,1,3,2,2,3,3,3,3,2,1,1,3,1,2,1,3,2,3,1,4,1,4,3,5,4,5,4,3,4,5,6,5,4,5,82,70,39,85,3,18,75,28,26,84,19,80,39,23,26,42,38,55,80,87,25,16,27,26,46,76,80,30,42,37,59,4,3,3,4,4,2,4,3,5,3,2,3,4,4,5,5,4,3,5,5,5,5,5,3,1,4,3,1,3,5,4,4,3,4,3,1,2,1,5,5,4,4,5,4,2,-2,1,1,1,2,-3,-2,3,3,-2,-3,3,-2,-1,1,1,-1,-3,-2,1,-2,1,-2,3,2,3,4,2,2,5,5,4,3,5,3,2,2,4,5,5,5,4,5,5,4,5,4,2,4,3,4,4,2,3,2,4,4,4,1,2,6,8,11,6,10,6,8,10,7,7,7,7,6,5,4,6,7,7,6,6,7,7,7,7,6
4,exp1.0,1064,1,2,19,4,2,1,1,1,10000,4,4,4,4,3,4,3,4,4,0.05,100,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,2,2,2,1,2,2,1,2,3,2,2,3,3,3,1,1,1,2,2,3,4,1,1,1,4,2,4,5,3,4,3,4,4,2,2,2,2,2,2,4,50,35,52,50,0,1,66,33,66,50,60,5,25,74,69,26,1,68,50,50,69,19,34,70,0,19,68,30,49,18,44,5,4,4,3,5,1,1,5,2,2,5,2,2,4,5,4,5,4,5,5,5,5,5,2,1,1,4,2,5,3,5,2,2,5,4,1,3,1,5,3,3,5,5,5,1,-3,-3,-3,-3,-3,-3,-3,1,-3,-3,-3,1,-3,1,1,1,-3,-3,-3,1,1,2,-3,2,4,2,2,2,2,4,2,2,2,4,2,2,2,2,2,2,4,2,4,2,4,4,2,2,4,2,3,2,3,3,3,2,2,3,3,3,6,8,6,6,8,5,5,8,6,6,5,5,4,4,4,6,6,6,5,5,5,5,5,5,5
4,exp1.0,1065,1,2,18,5,5,3,4,1,3500,4,1,3,1,1,1,2,4,2,0.05,4.5,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,3,2,2,1,1,4,1,3,4,3,3,4,4,4,3,3,2,2,3,3,2,2,2,3,3,2,3,5,4,5,5,5,5,5,5,5,5,5,5,5,50,50,50,50,50,15,35,25,35,50,50,35,50,50,35,35,50,50,50,25,35,50,25,25,50,35,35,50,50,50,35,4,4,4,4,4,2,3,4,3,3,2,3,4,3,3,4,4,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,2,2,3,3,4,3,4,4,4,4,1,-3,-3,1,-3,-2,-3,-2,-2,1,-3,-3,1,-3,-3,-3,-3,1,1,-3,2,-3,2,-3,3,2,2,4,2,2,2,2,3,2,4,2,2,2,4,2,2,3,2,4,4,2,4,2,2,3,3,3,3,2,3,2,3,3,3,1,1,7,7,6,7,7,7,4,7,7,7,6,7,7,5,4,7,7,7,7,7,7,7,7,7,7
4,exp1.0,1066,1,2,19,5,2,1,1,1,1500,4,3,3,2,1,2,3,4,3,0.05,5,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,4,4,3,1,4,2,3,2,2,4,3,4,2,2,3,3,2,3,4,3,3,4,4,3,1,2,2,3,5,3,5,5,4,5,2,5,2,5,4,11,70,70,50,30,30,70,50,65,70,55,60,70,50,69,33,40,40,50,60,50,50,28,65,30,70,80,70,70,30,40,4,4,4,4,5,3,2,3,4,4,4,3,4,4,4,4,4,3,4,5,4,4,4,2,2,3,2,3,3,3,4,3,3,3,4,3,2,2,3,3,3,4,4,4,-3,-3,-3,-2,-3,-3,-2,-2,1,1,-2,-2,2,-2,1,2,2,-2,-3,-3,2,-2,-3,-2,3,2,2,3,2,1,4,3,2,3,4,3,3,2,4,3,4,4,3,4,3,4,4,4,3,3,4,3,3,2,3,3,3,2,4,2,2,4,6,9,9,9,8,6,8,8,9,7,6,4,4,4,5,4,7,4,4,7,7,7,7,5
4,exp1.0,1067,1,2,19,5,2,2,2,2,2000,6,4,4,0,1,1,0,3,5,0.05,5,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,2,3,2,2,4,1,3,2,2,3,2,3,3,2,3,2,3,4,4,4,3,2,3,3,4,4,3,4,4,4,3,3,3,5,3,6,5,4,3,10,50,25,40,21,20,40,60,25,25,40,30,25,30,25,70,50,25,30,40,35,50,70,25,60,40,40,30,11,20,60,5,3,3,5,3,2,1,4,3,5,4,5,5,5,2,4,3,1,3,4,3,4,4,3,3,5,3,3,5,4,5,4,5,5,5,1,4,4,5,4,4,3,4,3,2,-3,-3,-3,1,1,-3,2,-1,1,-3,-3,1,-1,-3,-3,-1,1,1,-3,3,1,2,-1,2,2,4,3,2,3,2,4,2,2,2,3,2,2,4,4,3,3,2,3,3,4,4,3,2,3,2,4,4,2,4,2,4,4,3,1,1,6,7,7,7,8,8,8,7,8,8,7,7,6,5,4,5,5,6,5,6,7,6,6,7,5
4,exp1.0,1068,1,2,19,5,1,2,1,2,2000,4,1,2,3,1,3,2,3,4,0.05,5,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,4,2,2,1,1,4,1,3,3,3,4,3,2,3,2,3,3,3,4,4,4,2,2,3,4,2,4,3,2,5,2,2,3,4,3,4,4,3,4,5,50,70,11,54,7,0,70,22,28,63,12,70,8,23,72,10,27,11,49,48,63,12,10,71,12,82,67,8,8,10,36,5,5,4,3,4,2,3,1,4,4,4,4,5,5,2,4,4,2,3,5,2,4,2,4,2,3,4,4,5,3,4,3,4,3,4,1,5,4,4,4,4,2,4,2,-3,-3,-3,-3,2,1,-3,-3,3,-3,-3,-3,2,-2,1,2,-3,1,1,1,2,2,2,-3,2,4,3,3,2,2,5,4,3,2,4,4,2,3,4,5,3,3,3,4,3,4,4,4,2,4,4,3,3,2,3,2,4,3,4,2,1,7,8,8,6,6,6,5,9,6,8,7,7,4,4,6,4,7,7,6,7,7,7,7,7,6
4,exp1.0,1069,1,1,19,5,2,1,2,2,3000,6,1,2,1,1,1,1,4,4,0.05,5,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,1,3,1,1,3,1,4,4,3,2,3,3,4,3,2,3,3,3,3,3,2,3,3,3,2,3,4,5,4,5,3,5,5,4,4,6,4,3,5,20,20,24,18,5,4,23,27,23,23,17,22,21,22,25,23,4,22,26,19,25,20,26,19,8,22,49,22,24,24,20,5,4,4,4,4,2,1,2,2,5,4,3,4,4,3,4,2,1,3,4,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,2,2,3,4,3,3,4,4,4,1,-3,-3,-3,1,-3,-2,1,1,1,-2,-2,-3,-2,-3,-3,-3,-2,1,-3,1,-3,1,-2,2,3,2,2,2,2,3,5,2,2,5,4,1,2,4,5,4,4,3,2,4,2,5,2,2,4,4,4,4,1,4,1,4,4,4,2,2,7,5,5,5,6,5,4,5,4,6,7,7,6,6,4,6,6,6,6,6,7,7,7,7,6
4,exp1.0,1070,1,2,19,5,2,1,2,1,1500,4,3,2,1,1,1,1,4,3,0.05,5,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,2,2,2,1,1,2,1,3,3,2,2,4,4,3,3,3,1,2,2,2,3,1,1,2,3,1,3,5,4,6,2,4,4,4,3,5,5,5,3,5,20,80,10,71,5,23,75,26,50,60,15,75,50,5,25,33,5,10,30,20,39,5,60,57,5,70,72,5,50,9,22,4,4,3,2,5,3,3,2,2,4,3,3,4,2,3,4,5,3,3,4,3,4,4,2,2,2,3,3,4,2,4,2,3,4,4,2,4,3,3,4,3,3,5,3,2,1,-3,-2,-3,-3,-2,-3,2,1,-3,-3,-3,-3,-3,2,-2,-3,1,-3,2,-2,2,-3,4,3,1,4,3,2,4,3,4,3,4,4,3,2,4,5,3,5,2,4,3,4,5,3,2,5,3,3,3,2,4,2,4,4,4,1,1,6,6,8,5,7,5,6,6,6,8,7,6,7,4,4,6,7,7,3,7,7,7,6,5,5
4,exp1.0,1071,1,2,23,5,2,1,2,2,3000,4,5,5,3,3,2,3,5,5,0.05,5,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,4,1,4,1,1,1,1,1,2,4,4,4,4,4,3,4,2,2,4,3,3,4,3,2,4,2,4,5,5,5,5,3,5,5,4,6,3,3,3,4,33,90,22,36,1,46,87,100,28,31,21,87,23,10,37,100,19,24,27,34,38,11,100,32,15,86,87,10,23,30,94,4,3,4,3,3,3,3,2,3,3,3,3,3,2,4,4,5,4,4,4,3,4,5,4,2,3,4,4,4,5,3,2,4,4,2,2,3,3,2,3,4,4,4,3,2,-3,-3,-3,-3,1,-3,-3,2,-3,-3,-3,1,-2,-2,-2,-2,-3,-3,-2,1,-2,2,-2,2,2,2,3,2,2,4,5,2,3,3,2,2,4,4,5,5,5,4,4,3,4,5,3,2,4,4,3,3,2,4,2,3,3,3,2,2,7,6,5,6,6,4,4,6,6,6,7,7,6,6,3,6,6,7,6,7,7,7,7,7,7
